"zip_code","Year","area_rent_br0","area_rent_br1","area_rent_br2","area_rent_br3","area_rent_br4","city","county","total_frequency","total_ridership"
60018,2014,650,730,870,1110,1290,"Des Plaines","Cook",29097,2090977
60018,2015,680,770,910,1160,1350,"Des Plaines","Cook",29097,2106653
60018,2016,720,830,970,1240,1460,"Des Plaines","Cook",29161,2062702
60018,2017,730,840,980,1250,1480,"Des Plaines","Cook",29061,2031418
60018,2018,780,900,1040,1330,1580,"Des Plaines","Cook",29097,2053166
60018,2019,810,920,1070,1360,1630,"Des Plaines","Cook",29097,1968273
60018,2020,840,950,1100,1400,1660,"Des Plaines","Cook",29186,709783
60018,2021,880,980,1130,1430,1710,"Des Plaines","Cook",29061,757001
60018,2022,920,1010,1170,1480,1760,"Des Plaines","Cook",29108,987422
60018,2023,1010,1090,1250,1590,1890,"Des Plaines","Cook",14476,492840
60077,2014,810,920,1090,1390,1620,"Skokie","Cook",41020,986484
60077,2015,850,970,1150,1470,1710,"Skokie","Cook",41020,473402
60077,2016,870,1010,1170,1490,1760,"Skokie","Cook",41124,884760
60077,2017,890,1020,1190,1520,1800,"Skokie","Cook",41008,912483
60077,2018,950,1100,1280,1620,1940,"Skokie","Cook",41020,884533
60077,2019,1000,1140,1320,1680,2010,"Skokie","Cook",41020,832293
60077,2020,1040,1170,1360,1730,2060,"Skokie","Cook",41136,284215
60077,2021,1090,1210,1400,1780,2120,"Skokie","Cook",41008,286567
60077,2022,1120,1230,1420,1800,2140,"Skokie","Cook",41020,359157
60077,2023,1220,1330,1520,1930,2290,"Skokie","Cook",20360,200254
60091,2014,1090,1240,1470,1870,2180,"Wilmette","Cook",24277,291913
60091,2015,1140,1300,1540,1960,2290,"Wilmette","Cook",24277,321298
60091,2016,1190,1370,1590,2030,2390,"Wilmette","Cook",24329,320894
60091,2017,1220,1400,1630,2080,2460,"Wilmette","Cook",24255,311242
60091,2018,1320,1520,1770,2250,2690,"Wilmette","Cook",24277,304296
60091,2019,1370,1570,1820,2320,2770,"Wilmette","Cook",24277,296321
60091,2020,1430,1610,1870,2380,2830,"Wilmette","Cook",24350,89189
60091,2021,1500,1660,1920,2440,2910,"Wilmette","Cook",24255,106402
60091,2022,1480,1620,1870,2370,2820,"Wilmette","Cook",24278,128920
60091,2023,1640,1780,2040,2590,3080,"Wilmette","Cook",12072,72341
60130,2014,710,800,950,1210,1410,"Forest Park","Cook",26292,1157040
60130,2015,740,840,1000,1270,1490,"Forest Park","Cook",26292,1135352
60130,2016,770,880,1030,1310,1550,"Forest Park","Cook",26356,1101467
60130,2017,790,900,1050,1340,1590,"Forest Park","Cook",26267,1046738
60130,2018,830,960,1110,1420,1690,"Forest Park","Cook",26292,1002809
60130,2019,850,970,1130,1440,1720,"Forest Park","Cook",26292,924239
60130,2020,880,990,1150,1460,1740,"Forest Park","Cook",26370,402347
60130,2021,930,1030,1190,1510,1800,"Forest Park","Cook",26267,334648
60130,2022,970,1070,1230,1560,1850,"Forest Park","Cook",26303,356015
60130,2023,1080,1170,1340,1700,2020,"Forest Park","Cook",13068,180704
60201,2014,940,1060,1260,1610,1870,"Evanston","Cook",96633,2090972
60201,2015,980,1110,1320,1680,1960,"Evanston","Cook",96633,2086708
60201,2016,1010,1170,1360,1730,2040,"Evanston","Cook",96839,2055882
60201,2017,1070,1230,1430,1820,2160,"Evanston","Cook",96544,2003181
60201,2018,1230,1420,1650,2100,2510,"Evanston","Cook",96633,1964299
60201,2019,1270,1450,1680,2140,2560,"Evanston","Cook",96633,1879153
60201,2020,1320,1480,1720,2190,2600,"Evanston","Cook",96924,655199
60201,2021,1430,1580,1830,2320,2770,"Evanston","Cook",96544,699724
60201,2022,1520,1660,1920,2430,2890,"Evanston","Cook",96637,877498
60201,2023,1640,1780,2040,2590,3080,"Evanston","Cook",48054,466137
60202,2014,820,930,1100,1400,1630,"Evanston","Cook",24167,403441
60202,2015,850,970,1150,1470,1710,"Evanston","Cook",24167,398927
60202,2016,880,1010,1180,1500,1770,"Evanston","Cook",24218,391531
60202,2017,920,1060,1230,1570,1860,"Evanston","Cook",24144,385064
60202,2018,1090,1250,1460,1850,2220,"Evanston","Cook",24167,371563
60202,2019,1110,1270,1470,1870,2240,"Evanston","Cook",24167,358222
60202,2020,1140,1290,1490,1890,2250,"Evanston","Cook",24240,126017
60202,2021,1190,1320,1530,1940,2320,"Evanston","Cook",24144,132190
60202,2022,1230,1350,1560,1980,2350,"Evanston","Cook",24168,157729
60202,2023,1360,1470,1690,2140,2550,"Evanston","Cook",12019,84616
60302,2014,740,840,990,1260,1470,"Oak Park","Cook",22120,391299
60302,2015,770,880,1040,1330,1550,"Oak Park","Cook",22120,393399
60302,2016,810,930,1080,1380,1620,"Oak Park","Cook",22180,389944
60302,2017,830,950,1110,1410,1680,"Oak Park","Cook",22113,411170
60302,2018,1170,1340,1560,1990,2380,"Oak Park","Cook",22120,403026
60302,2019,1220,1390,1610,2050,2450,"Oak Park","Cook",22120,386792
60302,2020,1250,1410,1630,2070,2470,"Oak Park","Cook",22182,122683
60302,2021,1220,1360,1570,1990,2380,"Oak Park","Cook",22113,118205
60302,2022,1200,1320,1520,1920,2290,"Oak Park","Cook",22125,159921
60302,2023,1240,1340,1540,1950,2320,"Oak Park","Cook",10976,90394
60601,2014,1090,1240,1470,1870,2180,"Chicago","Cook",215899,40234999
60601,2015,1140,1300,1540,1960,2290,"Chicago","Cook",215899,43168521
60601,2016,1190,1370,1590,2030,2390,"Chicago","Cook",216437,42450534
60601,2017,1220,1400,1630,2080,2460,"Chicago","Cook",215777,43338641
60601,2018,1320,1520,1770,2250,2690,"Chicago","Cook",215899,45360975
60601,2019,1370,1570,1820,2320,2770,"Chicago","Cook",215899,44286583
60601,2020,1430,1610,1870,2380,2830,"Chicago","Cook",216522,12900374
60601,2021,1520,1680,1950,2480,2960,"Chicago","Cook",215777,13205678
60601,2022,1590,1740,2010,2550,3030,"Chicago","Cook",215936,18894430
60601,2023,1740,1880,2160,2740,3260,"Chicago","Cook",107222,10051782
60602,2014,1090,1240,1470,1870,2180,"Chicago","Cook",71223,6191277
60602,2015,1140,1300,1540,1960,2290,"Chicago","Cook",71223,6425166
60602,2016,1190,1370,1590,2030,2390,"Chicago","Cook",71400,6905943
60602,2017,1220,1400,1630,2080,2460,"Chicago","Cook",110302,10723993
60602,2018,1100,1260,1470,1870,2210,"Chicago","Cook",164624,19252413
60602,2019,990,1140,1330,1690,1990,"Chicago","Cook",164624,19147846
60602,2020,1430,1610,1870,2380,2830,"Chicago","Cook",165096,6335632
60602,2021,1520,1680,1950,2480,2960,"Chicago","Cook",164544,7025000
60602,2022,1590,1740,2010,2550,3030,"Chicago","Cook",164646,9932692
60602,2023,1740,1880,2160,2740,3260,"Chicago","Cook",81742,5476437
60604,2014,1090,1240,1470,1870,2180,"Chicago","Cook",93343,8525764
60604,2015,1140,1300,1540,1960,2290,"Chicago","Cook",93343,11153016
60604,2016,1190,1370,1590,2030,2390,"Chicago","Cook",93580,11233520
60604,2017,1220,1400,1630,2080,2460,"Chicago","Cook",93299,10293116
60604,2018,1320,1520,1770,2250,2690,"Chicago","Cook",93343,8899820
60604,2019,1370,1570,1820,2320,2770,"Chicago","Cook",93343,8349932
60604,2020,1430,1610,1870,2380,2830,"Chicago","Cook",93610,2545864
60604,2021,1520,1680,1950,2480,2960,"Chicago","Cook",93299,2690500
60604,2022,1590,1740,2010,2550,3030,"Chicago","Cook",93357,4335808
60604,2023,1740,1880,2160,2740,3260,"Chicago","Cook",46345,2441128
60605,2014,1090,1240,1470,1870,2180,"Chicago","Cook",189433,15723913
60605,2015,1140,1300,1540,1960,2290,"Chicago","Cook",189433,15431905
60605,2016,1190,1370,1590,2030,2390,"Chicago","Cook",189903,15488640
60605,2017,1220,1400,1630,2080,2460,"Chicago","Cook",189315,15118244
60605,2018,1320,1520,1770,2250,2690,"Chicago","Cook",189433,14521038
60605,2019,1370,1570,1820,2320,2770,"Chicago","Cook",189433,14146710
60605,2020,1430,1610,1870,2380,2830,"Chicago","Cook",189982,5079719
60605,2021,1520,1680,1950,2480,2960,"Chicago","Cook",189315,5789169
60605,2022,1590,1740,2010,2550,3030,"Chicago","Cook",189472,7653097
60605,2023,1740,1880,2160,2740,3260,"Chicago","Cook",94090,4042151
60607,2014,1020,1160,1370,1750,2040,"Chicago","Cook",55389,2452839
60607,2015,1060,1210,1430,1820,2130,"Chicago","Cook",55389,2410430
60607,2016,1160,1340,1560,1990,2340,"Chicago","Cook",55517,2399711
60607,2017,1220,1400,1630,2080,2460,"Chicago","Cook",55328,2358521
60607,2018,1320,1520,1770,2250,2690,"Chicago","Cook",55389,2400916
60607,2019,1370,1570,1820,2320,2770,"Chicago","Cook",55389,2351729
60607,2020,1430,1610,1870,2380,2830,"Chicago","Cook",55556,720207
60607,2021,1520,1680,1950,2480,2960,"Chicago","Cook",55328,776103
60607,2022,1590,1740,2010,2550,3030,"Chicago","Cook",55411,1182593
60607,2023,1740,1880,2160,2740,3260,"Chicago","Cook",27544,577701
60608,2014,610,690,820,1050,1220,"Chicago","Cook",3364,60744
60608,2015,640,730,860,1100,1280,"Chicago","Cook",3364,62799
60608,2016,650,750,870,1110,1310,"Chicago","Cook",3364,58914
60608,2017,670,760,890,1130,1350,"Chicago","Cook",3422,58302
60608,2018,690,800,930,1180,1410,"Chicago","Cook",3364,51970
60608,2019,720,820,950,1210,1450,"Chicago","Cook",3364,46129
60608,2020,750,850,980,1240,1480,"Chicago","Cook",3364,20921
60608,2021,790,880,1020,1300,1550,"Chicago","Cook",3422,33547
60608,2022,850,940,1080,1370,1630,"Chicago","Cook",3306,39343
60608,2023,940,1020,1170,1480,1760,"Chicago","Cook",1624,19805
60609,2014,630,720,850,1080,1260,"Chicago","Cook",23696,936665
60609,2015,670,760,900,1150,1340,"Chicago","Cook",23696,983098
60609,2016,660,760,880,1120,1320,"Chicago","Cook",23760,984456
60609,2017,670,770,900,1150,1360,"Chicago","Cook",23691,956194
60609,2018,660,760,880,1130,1340,"Chicago","Cook",23696,918747
60609,2019,680,780,900,1150,1370,"Chicago","Cook",23696,896292
60609,2020,690,780,900,1140,1360,"Chicago","Cook",23762,326259
60609,2021,710,790,910,1160,1380,"Chicago","Cook",23691,352399
60609,2022,730,800,920,1160,1390,"Chicago","Cook",23699,477257
60609,2023,800,860,990,1260,1490,"Chicago","Cook",11756,254224
60610,2014,970,1100,1300,1660,1930,"Chicago","Cook",86231,5079429
60610,2015,1010,1150,1360,1730,2020,"Chicago","Cook",86231,4870286
60610,2016,1070,1230,1430,1820,2150,"Chicago","Cook",86424,5256031
60610,2017,1130,1300,1510,1920,2280,"Chicago","Cook",86147,5058778
60610,2018,1320,1520,1770,2250,2690,"Chicago","Cook",86231,4953148
60610,2019,1370,1570,1820,2320,2770,"Chicago","Cook",86231,4773495
60610,2020,1430,1610,1870,2380,2830,"Chicago","Cook",86490,1563403
60610,2021,1520,1680,1950,2480,2960,"Chicago","Cook",86147,2009987
60610,2022,1590,1740,2010,2550,3030,"Chicago","Cook",86249,2684093
60610,2023,1740,1880,2160,2740,3260,"Chicago","Cook",42877,1428264
60612,2014,760,860,1020,1300,1520,"Chicago","Cook",23928,957736
60612,2015,790,900,1070,1360,1590,"Chicago","Cook",23928,993972
60612,2016,790,910,1060,1350,1590,"Chicago","Cook",23990,928561
60612,2017,820,950,1100,1400,1660,"Chicago","Cook",23918,893334
60612,2018,930,1070,1240,1580,1890,"Chicago","Cook",23928,898021
60612,2019,970,1100,1280,1630,1950,"Chicago","Cook",23928,869191
60612,2020,1010,1140,1320,1680,2000,"Chicago","Cook",23996,373443
60612,2021,1080,1190,1380,1750,2090,"Chicago","Cook",23918,419554
60612,2022,1140,1250,1440,1820,2170,"Chicago","Cook",23932,505310
60612,2023,1240,1340,1540,1950,2320,"Chicago","Cook",11878,268921
60613,2014,850,960,1140,1450,1690,"Chicago","Cook",91631,5772709
60613,2015,890,1010,1200,1530,1780,"Chicago","Cook",91631,5726548
60613,2016,930,1070,1240,1580,1860,"Chicago","Cook",91838,5606176
60613,2017,970,1110,1290,1640,1950,"Chicago","Cook",91552,5302306
60613,2018,1320,1520,1770,2250,2690,"Chicago","Cook",91631,5716176
60613,2019,1370,1570,1820,2320,2770,"Chicago","Cook",91631,5590638
60613,2020,1430,1610,1870,2380,2830,"Chicago","Cook",91904,2210440
60613,2021,1520,1680,1950,2480,2960,"Chicago","Cook",91552,2642182
60613,2022,1590,1740,2010,2550,3030,"Chicago","Cook",91644,3473673
60613,2023,1740,1880,2160,2740,3260,"Chicago","Cook",45551,1904183
60614,2014,960,1090,1290,1640,1920,"Chicago","Cook",138730,15124691
60614,2015,1010,1150,1360,1730,2020,"Chicago","Cook",138730,15186666
60614,2016,1070,1240,1440,1840,2160,"Chicago","Cook",139038,14981517
60614,2017,1120,1290,1500,1910,2270,"Chicago","Cook",138590,14117025
60614,2018,1320,1520,1770,2250,2690,"Chicago","Cook",138730,13826160
60614,2019,1370,1570,1820,2320,2770,"Chicago","Cook",138730,13645934
60614,2020,1430,1610,1870,2380,2830,"Chicago","Cook",139148,4305817
60614,2021,1520,1680,1950,2480,2960,"Chicago","Cook",138590,4982492
60614,2022,1590,1740,2010,2550,3030,"Chicago","Cook",138760,7475062
60614,2023,1740,1880,2160,2740,3260,"Chicago","Cook",68988,4320472
60615,2014,700,790,940,1200,1400,"Chicago","Cook",22120,362309
60615,2015,740,840,990,1260,1470,"Chicago","Cook",22120,362789
60615,2016,780,890,1040,1330,1560,"Chicago","Cook",22180,329375
60615,2017,810,930,1080,1380,1630,"Chicago","Cook",22113,304359
60615,2018,1030,1180,1380,1750,2090,"Chicago","Cook",22120,327277
60615,2019,1060,1210,1410,1790,2140,"Chicago","Cook",22120,288107
60615,2020,1100,1230,1430,1820,2160,"Chicago","Cook",22182,131619
60615,2021,1150,1270,1470,1870,2230,"Chicago","Cook",22113,124414
60615,2022,1190,1310,1510,1910,2270,"Chicago","Cook",22125,147163
60615,2023,1310,1420,1630,2070,2460,"Chicago","Cook",10976,73516
60616,2014,700,790,940,1200,1400,"Chicago","Cook",33732,1567588
